name,district,latitude,longitude,proj_area,nbr_buildings,nbr_floors,units,hospital,price_sqm,id,bld_age,dist_shop_1,dist_shop_2,dist_shop_3,dist_shop_4,dist_shop_5,dist_school_1,dist_school_2,dist_school_3,dist_school_4,dist_school_5,dist_food_1,dist_food_2,dist_food_3,dist_food_4,dist_food_5,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,tran_type1,tran_type2,tran_type3,tran_type4,tran_type5,tran_name1,tran_name2,tran_name3,tran_name4,tran_name5,dist_tran_1,dist_tran_2,dist_tran_3,dist_tran_4,dist_tran_5
The Rich Sathorn – Taksin,Khlong San,13.7201072,100.49338940000001,4556,1,23,511.0,1.0,124328,413,3,0.85,0.85,0.98,0.98,1.1,0.37,0.37,0.6,0.6,0.77,0.059,0.059,0.29,0.29,0.73,1,1,1,1,1,0,1,1,0,0,0,0,Wong Wian Yai,Wong Wian Yai,Krung Thon Buri,Krung Thon Buri,Pho Nimit,Wong Wian Yai,Wong Wian Yai,Krung Thon Buri,Krung Thon Buri,Pho Nimit,0.57,0.57,1.1,1.1,1.7
The River,Khlong San,13.721810000000001,100.50915,20564,2,74,838.0,1.1,207267,414,9,0.4,0.53,0.94,1.2,1.5,0.3,0.37,0.44,0.82,0.82,0.06,0.098,0.13,0.26,0.29,1,1,1,1,1,1,1,1,0,1,1,1,Surawong Toll Plaza,Surasak,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,Surawong Toll Plaza,Surasak,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,1.5,1.6,1.7,1.8,2.0
The Room BTS Wongwian Yai,Khlong San,13.720806,100.4949655,3372,1,29,201.0,1.0,164992,415,5,0.88,0.9,0.94,1.2,1.2,0.43,0.64,0.85,0.87,0.96,0.14,0.14,0.78,0.81,0.94,1,1,1,1,1,1,1,1,0,0,0,0,Wong Wian Yai,Krung Thon Buri,Pho Nimit,Sathon Toll Plaza,Surawong Toll Plaza,Wong Wian Yai,Krung Thon Buri,Pho Nimit,Sathon Toll Plaza,Surawong Toll Plaza,0.17,0.89,1.5,3.0,3.2
The Seed Sathorn-Taksin,Khlong San,13.723486999999999,100.496725,3696,1,8,248.0,1.0,86625,416,10,0.59,0.68,0.68,0.75,1.3,0.69,0.79,0.94,0.98,1.0,0.53,0.58,0.6,0.66,0.0001,1,1,1,1,0,0,0,1,0,0,0,0,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Chan Toll Plaza,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Chan Toll Plaza,0.43,3.0,3.5,3.6,4.2
The Viva Condo Sathorn-taksin,Khlong San,13.723185999999998,100.495524,1484,1,8,120.0,1.0,87128,417,7,0.51,0.61,0.61,0.67,1.1,0.62,0.62,0.87,0.87,0.93,0.36,0.49,0.51,0.52,0.0001,1,1,1,1,1,0,1,1,1,0,0,1,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Chan Toll Plaza,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Chan Toll Plaza,0.26,2.9,3.4,3.5,4.1
Tourmaline Gold Sathorn-Taksin,Khlong San,13.7227,100.501888,1280,1,8,72.0,1.8,87940,418,10,1.1,1.2,1.2,1.2,1.2,0.31,0.33,1.1,1.2,1.4,0.32,0.79,0.002,0.91,0.93,1,1,1,1,1,0,1,1,0,0,0,0,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,0.91,2.3,2.5,2.6,2.8
Tourmaline Lite Sathorn-Taksin,Khlong San,13.722607,100.50236,1462,1,8,126.0,1.7,76190,419,6,1.0,1.1,1.3,1.3,1.3,0.21,0.43,1.0,1.1,1.3,0.22,0.74,0.002,0.86,0.91,1,1,1,1,0,0,0,1,0,0,0,0,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,0.97,2.2,2.4,2.6,2.8
Urbano Absolute Sathon-Taksin,Khlong San,13.720819,100.507061,5120,1,40,593.0,1.4,126351,420,6,0.42,0.72,1.2,1.3,1.9,0.31,0.73,0.8,0.86,1.0,0.4,0.43,0.47,0.52,0.55,1,1,1,1,1,1,1,1,0,0,0,0,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,Wong Wian Yai,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Saphan Taksin,1.6,1.9,2.0,2.1,2.3
Villa Sathorn,Khlong San,13.7211516,100.5042247,6786,1,40,636.0,1.7,113490,421,9,0.64,0.64,1.0,1.5,1.6,0.46,0.8,0.83,0.83,0.94,0.002,0.38,0.64,0.66,0.7,1,1,1,1,1,1,1,1,1,1,0,0,Krung Thon Buri,Wong Wian Yai,Saphan Taksin,Surawong Toll Plaza,Sathon Toll Plaza,Krung Thon Buri,Wong Wian Yai,Saphan Taksin,Surawong Toll Plaza,Sathon Toll Plaza,0.49,0.99,1.2,2.1,2.1
Watermark Chaophraya,Khlong San,13.711608199999999,100.50022750000001,17600,2,52,1.0,1.0,133333,422,10,1.3,1.3,1.4,1.6,1.9,0.64,0.74,0.77,0.87,0.95,0.22,0.23,0.37,0.39,0.39,1,1,1,1,1,1,1,1,1,0,0,1,Wong Wian Yai,Krung Thon Buri,Saphan Taksin,Chan Toll Plaza,Sathon Toll Plaza,Wong Wian Yai,Krung Thon Buri,Saphan Taksin,Chan Toll Plaza,Sathon Toll Plaza,2.0,2.1,2.8,3.1,3.1
38 Mansion,Khlong Toei,13.7181886,100.577788,8230,1,17,137.0,0.87,113487,423,27,1.0,1.7,1.8,1.9,1.9,0.34,0.66,0.73,0.85,0.92,0.036,0.49,0.8,0.8,0.81,1,1,1,1,1,1,1,1,0,0,1,1,Thong Lo,Ekkamai,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Phra Khanong,Thong Lo,Ekkamai,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Phra Khanong,1.1,1.9,2.4,2.6,2.7
Aguston Sukhumvit 22,Khlong Toei,13.725045999999999,100.56490499999997,5200,2,24,269.0,1.9,157333,424,10,0.024,0.46,0.81,0.88,1.0,0.38,0.38,0.5,1.1,1.5,0.28,0.33,0.38,0.001,0.44,1,1,1,1,1,1,1,1,1,0,0,1,Phrom Phong,Queen Sirikit National Convention Centre,Khlong Toei,Tha Ruea 2 Toll Plaza,Rama 4-1 Toll Plaza,Phrom Phong,Queen Sirikit National Convention Centre,Khlong Toei,Tha Ruea 2 Toll Plaza,Rama 4-1 Toll Plaza,1.4,1.7,1.8,1.9,2.0
Ashton Morph 38,Khlong Toei,13.720869899999999,100.5792944,5320,1,32,199.0,1.2,228956,425,7,0.76,1.0,1.1,1.2,1.2,0.057,0.11,0.52,0.61,0.67,0.12,0.12,0.12,0.2,0.28,1,1,1,1,1,1,1,1,1,1,0,1,Thong Lo,Ekkamai,Phra Khanong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Thong Lo,Ekkamai,Phra Khanong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,0.38,1.2,2.0,2.1,3.0
Aspire Rama 4,Khlong Toei,13.711812,100.584202,10880,1,32,1432.0,0.67,99430,426,7,0.88,0.9,0.93,1.1,1.4,0.6,0.61,0.84,1.0,1.1,0.12,0.004,0.39,0.62,0.77,1,1,1,1,1,1,1,1,0,1,1,0,Ekkamai,At Narong Toll Plaza,Phra Khanong,At Narong 2 Toll Plaza,Thong Lo,Ekkamai,At Narong Toll Plaza,Phra Khanong,At Narong 2 Toll Plaza,Thong Lo,0.87,1.0,1.3,1.6,1.7
Baan Siri Sukhumvit 10,Khlong Toei,13.7369698,100.55702009999999,3236,2,8,118.0,1.2,131779,427,14,0.38,0.42,0.51,0.019,0.58,0.94,1.2,1.2,1.3,1.4,0.068,0.16,0.3,0.34,0.38,1,1,1,1,1,0,1,1,1,0,0,0,Nana,Asok,Sukhumvit,Sukhumvit Toll Plaza,Phetchaburi Toll Plaza,Nana,Asok,Sukhumvit,Sukhumvit Toll Plaza,Phetchaburi Toll Plaza,0.5,0.57,1.0,1.2,2.2
Bright Sukhumvit 24,Khlong Toei,13.7239163,100.5669015,7569,2,36,292.0,1.6,194531,428,8,0.33,0.33,0.33,0.33,0.024,0.97,0.97,0.97,0.97,1.0,0.17,0.17,0.17,0.17,0.26,1,1,1,1,1,1,1,1,1,0,0,1,Phrom Phong,Phrom Phong,Phrom Phong,Phrom Phong,Queen Sirikit National Convention Centre,Phrom Phong,Phrom Phong,Phrom Phong,Phrom Phong,Queen Sirikit National Convention Centre,0.85,0.85,0.85,0.85,1.7
Circle Rein Sukhumvit 12,Khlong Toei,13.7354803,100.55799920000001,1712,1,8,122.0,0.92,171774,429,3,0.016,0.13,0.22,0.019,0.48,0.65,0.9,1.1,1.1,1.1,0.0,0.012,0.016,0.016,0.016,1,1,1,1,1,0,1,1,0,0,0,0,Asok,Nana,Sukhumvit,Sukhumvit Toll Plaza,Phetchaburi Toll Plaza,Asok,Nana,Sukhumvit,Sukhumvit Toll Plaza,Phetchaburi Toll Plaza,0.28,0.4,0.71,1.1,2.1
Circle Sukhumvit 12,Khlong Toei,13.735374100000001,100.5580123,1616,1,8,110.0,1.2,170164,430,6,0.27,0.3,0.42,0.45,0.51,0.94,0.96,1.2,1.2,1.4,0.01,0.031,0.036,0.057,0.13,1,1,1,1,1,1,1,1,1,0,0,1,Asok,Asok,Nana,Nana,Sukhumvit,Asok,Asok,Nana,Nana,Sukhumvit,0.57,0.59,0.69,0.72,1.0
Condo One Thonglor,Khlong Toei,13.721765,100.580699,2512,1,8,132.0,1.3,106900,431,10,0.61,0.65,0.69,0.73,0.94,0.23,0.65,0.66,0.69,0.72,0.14,0.14,0.23,0.26,0.26,1,1,1,1,0,0,1,1,0,0,0,0,Thong Lo,Ekkamai,Phra Khanong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Thong Lo,Ekkamai,Phra Khanong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,0.39,0.67,1.5,2.1,3.4
Condo One X Sukhumvit 26,Khlong Toei,13.725103200000001,100.569128,3172,1,28,329.0,1.4,119134,432,10,0.61,0.61,0.68,0.68,0.8,0.57,0.57,0.75,0.75,1.0,0.12,0.12,0.22,0.22,0.28,1,1,1,1,1,0,1,1,0,0,0,0,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Tha Ruea 2 Toll Plaza,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Tha Ruea 2 Toll Plaza,0.78,0.78,1.6,1.6,2.0
Condolette Dwell Sukhumvit 26,Khlong Toei,13.726157999999998,100.570639,3276,2,8,224.0,1.2,157143,433,5,0.62,0.66,0.77,0.041,0.001,0.55,0.82,0.96,1.0,1.2,0.22,0.23,0.23,0.3,0.3,1,1,1,1,1,0,1,1,0,0,0,1,Phrom Phong,Thong Lo,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Queen Sirikit National Convention Centre,Phrom Phong,Thong Lo,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Queen Sirikit National Convention Centre,0.6,1.4,2.2,2.4,2.5
Domus,Khlong Toei,13.733518,100.562771,6400,2,12,108.0,1.0,192451,434,13,0.37,0.37,0.49,0.69,0.033,0.74,0.86,0.94,0.98,0.99,0.047,0.099,0.1,0.12,0.15,1,1,1,1,1,0,1,0,0,0,0,0,Asok,Sukhumvit,Phrom Phong,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,Asok,Sukhumvit,Phrom Phong,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,0.55,0.69,1.1,1.9,3.2
Eua Amornsuk,Khlong Toei,13.722005,100.562286,12059,1,9,439.0,1.3,31786,435,27,0.5,0.024,0.83,0.88,0.95,1.0,1.0,1.0,1.1,1.2,0.1,0.19,0.49,0.49,0.49,1,1,1,1,0,0,0,0,0,0,0,1,Queen Sirikit National Convention Centre,Khlong Toei,Rama 4-1 Toll Plaza,Rama 4-2 Toll Plaza,Phrom Phong,Queen Sirikit National Convention Centre,Khlong Toei,Rama 4-1 Toll Plaza,Rama 4-2 Toll Plaza,Phrom Phong,1.0,1.2,1.3,1.4,1.6
Ficus Lane,Khlong Toei,13.713928,100.58958299999999,4668,2,7,70.0,0.43,121096,436,11,0.89,1.1,1.1,1.2,1.6,0.47,0.79,0.86,0.99,1.3,0.49,0.5,0.52,0.59,0.61,1,1,1,1,1,0,1,1,0,0,0,0,Phra Khanong,Ekkamai,On Nut,Phra Khanong Toll Plaza,At Narong 2 Toll Plaza,Phra Khanong,Ekkamai,On Nut,Phra Khanong Toll Plaza,At Narong 2 Toll Plaza,0.44,1.1,1.8,2.0,2.5
Focus Ploenchit,Khlong Toei,13.7397131,100.5518729,1612,1,8,132.0,0.98,170414,437,5,0.21,0.55,0.59,0.77,0.78,0.58,0.94,1.0,1.2,1.3,0.22,0.23,0.53,0.53,0.53,1,1,1,1,1,0,1,1,0,0,0,0,Phloen Chit,Sukhumvit Toll Plaza,Nana,Asok,Phetchaburi Toll Plaza,Phloen Chit,Sukhumvit Toll Plaza,Nana,Asok,Phetchaburi Toll Plaza,0.54,0.54,0.91,1.5,1.6
Green Tower,Khlong Toei,13.716581900000001,100.57248100000001,27069,1,25,34.0,0.5,169307,438,27,0.27,0.63,0.67,0.81,24.0,0.38,0.48,0.58,0.76,0.95,0.22,0.31,0.4,0.46,0.004,1,1,1,1,0,0,0,0,0,1,0,1,Thong Lo,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Ekkamai,Phrom Phong,Thong Lo,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Ekkamai,Phrom Phong,1.6,1.6,1.8,1.9,2.0
Ideal 24,Khlong Toei,13.723626000000001,100.567199,1880,1,41,34.0,1.6,143846,439,11,0.32,0.024,0.45,0.63,0.68,0.96,1.0,1.0,1.0,1.1,0.15,0.24,0.27,0.31,0.32,1,1,1,1,1,1,1,1,1,0,0,0,Phrom Phong,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Thong Lo,Phrom Phong,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Thong Lo,0.83,1.7,1.8,1.9,2.0
Ideo Morph 38,Khlong Toei,13.7207625,100.5793054,5344,2,10,361.0,1.3,199641,440,7,0.77,1.0,1.1,1.2,1.2,0.044,0.1,0.53,0.6,0.68,0.13,0.13,0.14,0.22,0.29,1,1,1,1,1,1,1,1,1,1,0,1,Thong Lo,Ekkamai,Phra Khanong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Thong Lo,Ekkamai,Phra Khanong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,0.39,1.2,2.0,2.1,3.0
Ideo Verve Sukhumvit,Khlong Toei,13.705806699999998,100.6010337,5330,1,30,490.0,2.0,148290,441,10,0.39,1.3,71.0,2.4,2.6,0.45,0.49,0.52,0.61,0.83,0.18,0.19,0.05,0.25,0.05,1,1,1,1,1,1,1,1,1,0,0,1,On Nut,Bang Chak,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,Phra Khanong,On Nut,Bang Chak,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,Phra Khanong,0.1,1.1,1.2,1.3,1.5
Issara@42 Sukhumvit,Khlong Toei,13.716082,100.585099,2196,1,8,69.0,0.48,109033,442,11,0.47,0.48,0.51,0.68,1.0,0.67,0.76,0.8,0.89,0.96,0.36,0.5,0.5,0.51,0.51,1,1,1,1,1,1,1,1,0,0,0,0,Ekkamai,Phra Khanong,Thong Lo,At Narong Toll Plaza,At Narong 2 Toll Plaza,Ekkamai,Phra Khanong,Thong Lo,At Narong Toll Plaza,At Narong 2 Toll Plaza,0.45,1.3,1.3,1.5,2.2
Kraam Sukhumvit 26,Khlong Toei,13.726300400000001,100.5696144,3164,1,29,128.0,1.2,310086,443,0,0.58,0.58,0.58,0.63,0.63,0.43,0.43,0.43,0.79,0.79,0.19,0.19,0.19,0.19,0.19,1,1,1,1,1,1,1,1,0,0,0,0,Phrom Phong,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,Phrom Phong,Phrom Phong,Phrom Phong,Thong Lo,Thong Lo,0.56,0.56,0.56,1.4,1.4
La Vie En Rose Place,Khlong Toei,13.721910000000001,100.57662299999993,4804,2,7,78.0,0.91,119903,444,12,0.001,0.95,0.99,1.3,1.4,0.33,0.34,0.48,0.48,0.49,0.22,0.22,0.24,0.25,0.38,1,1,1,1,1,0,1,1,0,0,0,1,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,0.49,1.4,1.4,2.4,2.6
Lake Green,Khlong Toei,13.734647400000002,100.5559309,363,1,27,68.0,1.6,128183,445,22,0.77,0.82,0.97,1.0,1.1,1.4,1.4,1.5,1.6,1.8,0.098,0.24,0.36,0.005,0.97,1,1,1,1,1,1,1,1,1,0,0,1,Nana,Asok,Sukhumvit Toll Plaza,Sukhumvit,Rama 4-2 Toll Plaza,Nana,Asok,Sukhumvit Toll Plaza,Sukhumvit,Rama 4-2 Toll Plaza,0.7,1.2,1.4,1.5,3.6
Lake View Condominium,Khlong Toei,13.7308291,100.56055500000001,31977,1,7,396.0,0.13,48361,446,24,0.039,0.049,0.46,0.85,0.94,0.61,1.0,1.1,1.2,1.2,0.25,0.039,0.44,0.44,0.039,1,1,1,1,0,0,0,1,1,0,0,0,Phrom Phong,Thong Lo,Sukhumvit,Asok 3 Toll Plaza,Asok 4 Toll Plaza,Phrom Phong,Thong Lo,Sukhumvit,Asok 3 Toll Plaza,Asok 4 Toll Plaza,0.8,1.6,2.2,3.6,3.6
Le Cote Sukhumvit 14,Khlong Toei,13.736241,100.560007,724,1,8,60.0,0.76,149643,447,7,0.17,0.021,0.31,0.019,0.8,0.65,0.9,0.92,1.1,1.3,0.045,0.14,0.17,0.18,0.19,1,1,1,1,1,0,1,0,0,0,0,0,Asok,Sukhumvit,Nana,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,Asok,Sukhumvit,Nana,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,0.11,0.44,0.72,1.4,3.2
Le Raffine Sukhumvit 24,Khlong Toei,13.725566500000001,100.567548,3200,1,30,54.0,1.4,121622,448,14,0.2,0.49,0.49,0.024,0.59,0.79,1.1,1.2,1.2,1.2,0.004,0.17,0.17,0.29,0.43,1,1,1,1,1,0,1,0,0,0,0,1,Phrom Phong,Thong Lo,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Rama 4-2 Toll Plaza,Phrom Phong,Thong Lo,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Rama 4-2 Toll Plaza,0.59,1.8,1.9,2.0,2.3
Life Sukhumvit 48,Khlong Toei,13.711731,100.594897,5996,2,31,612.0,1.2,134500,449,1,0.43,0.89,71.0,1.6,2.0,0.63,0.73,1.2,1.2,1.3,0.29,0.31,0.38,0.4,0.43,1,1,1,1,1,1,1,1,0,1,0,1,Phra Khanong,On Nut,Phra Khanong Toll Plaza,Ekkamai,At Narong 2 Toll Plaza,Phra Khanong,On Nut,Phra Khanong Toll Plaza,Ekkamai,At Narong 2 Toll Plaza,0.65,1.0,1.4,1.5,1.9
Lumpini Place Rama 4-Kluaynamthai,Khlong Toei,13.712898999999998,100.582766,2016,1,28,887.0,0.69,96138,450,8,0.88,0.9,0.93,1.1,1.4,0.41,0.58,0.74,0.85,0.97,0.14,0.15,0.004,0.62,0.69,1,1,1,1,1,1,1,0,0,1,1,1,Ekkamai,At Narong Toll Plaza,Phra Khanong,Thong Lo,At Narong 2 Toll Plaza,Ekkamai,At Narong Toll Plaza,Phra Khanong,Thong Lo,At Narong 2 Toll Plaza,0.86,1.2,1.3,1.6,1.9
Maison De Siam,Khlong Toei,13.7267609,100.5623796,1600,1,7,24.0,1.8,141824,451,14,0.024,0.77,0.98,1.1,1.3,0.63,0.64,0.75,1.4,1.5,0.001,0.21,0.24,0.5,0.016,1,1,1,1,1,0,1,1,0,0,1,1,Queen Sirikit National Convention Centre,Khlong Toei,Phrom Phong,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,Queen Sirikit National Convention Centre,Khlong Toei,Phrom Phong,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,1.5,1.7,1.7,1.9,1.9
Metro Luxe Rama 4,Khlong Toei,13.711716800000001,100.5805147,6711,3,8,478.0,0.68,127557,452,4,1.2,1.2,1.2,1.3,1.3,0.14,0.14,0.14,0.57,0.57,0.34,0.34,0.34,0.52,0.52,1,1,1,1,1,0,1,1,0,1,0,0,At Narong Toll Plaza,At Narong Toll Plaza,At Narong Toll Plaza,Ekkamai,Ekkamai,At Narong Toll Plaza,At Narong Toll Plaza,At Narong Toll Plaza,Ekkamai,Ekkamai,0.93,0.93,0.93,1.3,1.3
Millennium Residence,Khlong Toei,13.730556,100.561652,20424,4,51,604.0,1.3,171759,453,9,0.8,1.0,1.4,1.4,33.0,1.2,1.3,1.4,1.4,1.5,0.073,0.18,0.24,0.24,0.25,1,1,1,1,1,1,1,1,1,1,1,1,Asok,Sukhumvit,Queen Sirikit National Convention Centre,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,Asok,Sukhumvit,Queen Sirikit National Convention Centre,Sukhumvit Toll Plaza,Rama 4-1 Toll Plaza,0.84,1.0,1.9,2.1,2.5
Newton Tower,Khlong Toei,13.7385236,100.5559308,9600,1,25,82.0,1.6,95834,454,28,1.3,1.3,1.4,1.4,1.6,0.0,0.5,1.6,2.0,2.0,0.53,0.72,0.72,0.9,0.9,1,1,1,1,1,0,1,0,0,0,0,0,Nana,Sukhumvit Toll Plaza,Asok,Sukhumvit,Phetchaburi Toll Plaza,Nana,Sukhumvit Toll Plaza,Asok,Sukhumvit,Phetchaburi Toll Plaza,1.2,1.5,1.8,2.2,2.4
Pandao Place,Khlong Toei,13.703187,100.591153,888,1,7,60.0,2.2,79542,455,11,1.6,2.3,2.5,2.7,3.0,0.77,0.9,1.4,1.5,1.6,0.52,0.74,1.0,50.0,50.0,1,1,1,1,1,0,1,1,0,0,0,0,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,On Nut,Sukhumvit 62 Toll Plaza,Bang Chak,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,On Nut,Sukhumvit 62 Toll Plaza,Bang Chak,0.06,0.76,1.2,1.9,2.3
Park 24,Khlong Toei,13.724692999999998,100.567172,8328,2,51,837.0,1.5,233333,456,1,0.32,0.37,0.024,0.68,0.7,0.91,1.0,1.1,1.1,1.2,0.058,0.11,0.29,0.31,0.36,1,1,1,1,1,1,1,1,0,0,0,0,Phrom Phong,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Thong Lo,Tha Ruea 1 Toll Plaza,Phrom Phong,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Thong Lo,Tha Ruea 1 Toll Plaza,0.7,1.8,1.8,1.9,2.0
Pearl Residences Sukhumvit 24,Khlong Toei,13.727764,100.5665,1760,1,8,78.0,1.4,192074,457,7,0.35,0.64,0.66,0.033,1.0,0.51,1.2,1.5,1.5,1.5,0.32,0.34,0.34,0.35,0.36,1,1,1,1,1,0,1,1,1,0,0,0,Phrom Phong,Asok,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Rama 4-1 Toll Plaza,Phrom Phong,Asok,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Rama 4-1 Toll Plaza,0.64,1.6,2.2,2.3,2.6
President Park Harbour View,Khlong Toei,13.7225995,100.5663551,20957,1,36,710.0,1.6,67308,458,25,0.12,0.024,0.43,0.47,0.55,0.76,0.82,0.82,0.94,1.2,0.063,0.11,0.12,0.12,0.13,1,1,1,1,1,0,1,1,1,0,0,0,Phrom Phong,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Rama 4-1 Toll Plaza,Phrom Phong,Queen Sirikit National Convention Centre,Tha Ruea 2 Toll Plaza,Tha Ruea 1 Toll Plaza,Rama 4-1 Toll Plaza,0.95,1.5,1.6,1.7,1.9
Rhythm Sukhumvit,Khlong Toei,13.706370399999999,100.5997985,6332,1,37,589.0,2.1,165385,459,6,0.66,1.3,1.8,2.5,2.9,0.23,0.66,0.69,0.76,1.1,0.094,0.05,0.05,0.036,0.036,1,1,1,1,1,1,1,1,0,0,0,1,On Nut,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,Bang Chak,Phra Khanong,On Nut,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,Bang Chak,Phra Khanong,0.24,0.88,1.1,1.3,1.5
Rhythm Sukhumvit 36-38,Khlong Toei,13.7214807,100.57687759999999,4305,1,25,496.0,0.9,197500,460,2,0.001,0.001,0.96,0.96,0.97,0.24,0.24,0.36,0.36,0.41,0.23,0.23,0.24,0.24,0.24,1,1,1,1,1,1,1,1,0,0,0,0,Thong Lo,Thong Lo,Ekkamai,Ekkamai,Phrom Phong,Thong Lo,Thong Lo,Ekkamai,Ekkamai,Phrom Phong,0.51,0.51,1.4,1.4,1.4
Rhythm Sukhumvit 42,Khlong Toei,13.717754199999998,100.58472809999999,5048,1,36,407.0,0.8,198111,461,3,0.068,0.068,0.083,0.083,0.11,0.27,0.27,0.36,0.36,0.4,0.057,0.057,0.083,0.083,0.095,1,1,1,1,1,1,1,1,0,1,0,1,Ekkamai,Ekkamai,Phra Khanong,Phra Khanong,Thong Lo,Ekkamai,Ekkamai,Phra Khanong,Phra Khanong,Thong Lo,0.05,0.05,0.92,0.92,0.93
Rhythm Sukhumvit 44/1,Khlong Toei,13.715271,100.590471,5100,1,34,486.0,0.69,182222,462,6,0.68,0.84,0.87,1.1,1.3,0.22,0.5,0.56,0.7,0.9,0.17,0.3,0.46,0.48,0.54,1,1,1,1,1,1,1,1,1,0,0,0,Phra Khanong,Ekkamai,On Nut,Phra Khanong Toll Plaza,At Narong 2 Toll Plaza,Phra Khanong,Ekkamai,On Nut,Phra Khanong Toll Plaza,At Narong 2 Toll Plaza,0.11,0.81,1.6,1.7,2.5
S Condo Sukhumvit 50,Khlong Toei,13.7031766,100.59082509999999,17980,1,8,77.0,2.4,67568,463,12,1.4,2.0,2.4,2.7,3.2,0.61,0.75,1.2,1.4,1.5,0.37,0.59,0.88,0.05,0.05,1,1,1,1,1,0,0,0,1,1,0,1,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,On Nut,Sukhumvit 62 Toll Plaza,Bang Chak,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,On Nut,Sukhumvit 62 Toll Plaza,Bang Chak,0.095,0.6,1.0,1.8,2.1
